1,Zona 1,20 Calle 7-62 Zona 1
2,Zona 2,11 Av. 7-38 Zona 2
3,Zona 3,7 Av. 16-51 Z.3
4,Zona 4,10 Av. 3-76 Zona 4
5,Zona 5,7a. Av. B 24-62 Zona 5
6,Zona 6,2a. Calle 4-41 Zona 6
7,Zona 7,8 Calle A 32-37 Zona 7
8,Zona 8,14 Calle 2-51 Aonq 10 Torre Cristal Nivel 4 Zona 8
9,Zona 9,7a. Av. 9-63 Zona 9
10,Zona 10,11 Calle 0-65 Zona 10 Edificio Vizcaya Of. 104
11,Zona 11,"Av. Petapa 28-98, Zona 11"
12,Zona 12,37 Calle A 19-09 Zona 12
13,Zona 13,Calzada Aguilar Batres 9-70 Zona 13
14,Zona 14,7a. Av. 9-63 Zona 14
15,Zona 15,7a. Av. B 24-62 Zona 15
16,Zona 16,2a. Calle 4-41 Zona 16
17,Zona 17,8 Calle A 32-37 Zona 17
18,Zona 18,14 Av. 7-12 Zona 18
19,Zona 19,14 Av. 7-12 Zona 19
20,Zona 20,8 Calle 2-55 Zona 20
21,Zona 21,Av. Elena 20-18 Zona 21
